;287;;enderCraft;末影工艺;EnderCraft;
mad-science;288;;madscience;疯狂科学;Mad Science;
;289;;QuarryPlus;采石场增强;Quarry Plus;
;29;776706;Thaumcraft;神秘时代3;Thaumcraft 3;TC3
;290;;enviromine;更多生存要素;EnviroMine;
;291;;;群峦扩展;ExtraFirma;EF
the-erebus;292;856406;erebus;混沌之地;The Erebus;
emerald-mod;293;282677;emeraldmod;绿宝石Mod;Emerald Mod;
lucky-block-official;294;;lucky;幸运方块;Lucky Block;LB
dynamic-lights;295;593066;DynamicLights,DynamicLights_onFire,DynamicLights_creepers,DynamicLights_dropItems,DynamicLights_entityClasses,DynamicLights_mobEquipment,DynamicLights_thePlayer,DynamicLights_otherPlayers,DynamicLights_flameArrows;动态光源;Dynamic Lights;DL
yarr-cute-mob-models-remake;296;176541;yarr_cutemobmodels;怪物娘化;Yarr Cute Mob Models - Remake;
monster-hunter-frontier-craft;297;;mhfc;怪物猎人边境工艺;Monster Hunter Frontier Craft;MHFC
zombie-awareness;298;;zombieawareness;僵尸意识;Zombie Awareness;ZA
remote-io;299;;RIO;远程接口;Remote IO;RIO
;3;71843;RedPowerCore,RedPowerBase;红石力量2;RedPower2;RP2
;30;;Forge,forge;Minecraft Forge;;Forge
electrical-age;300;;Eln;电力时代;Electrical Age;ELN
;301;;;可升级机器;Upgradable Machines;
;302;;PowerUtils;电力转换;Power Utilites;
;303;;;小型炼金术;Minor Alchemy;
;304;;;更多TNT;TooMuchTNT;
;305;;;更多爆炸物;More Explosives Mod;
;306;;;生物病毒;MineInfection;
;307;;;高级能量工具;Advanced Flux Tools;
;308;;;自然工艺;Natural Craft;NC
mcicraft;309;;mcicraft,mcicraft_machines,mcicraft_redstone,mcicraft_farming;MCI工艺;MCI Craft;
ee3;31;;EE3;等价交换3;Equivalent Exchange 3;EE3
;310;;;能源操纵;Energy Manipulation;
;311;;Lantern;手电与照明;Lanterns and Flashlights;
engineers-toolbox;312;;eng_toolbox;工程师工具箱;Engineer's Toolbox;
;313;;;电子工具：红石供电工具;E-Tools: Redstone Powered Tools;
;314;;AppliedThermodynamics;应用热力学;Applied Thermodynamics;
modular-systems;315;;modularsystems;模块化熔炉2;Modular Furnaces 2/Modular Systems;
;316;;;原子科技;Atomicraft;
;317;;;火车工业;Traincraft;TC
;318;;HydCraft;液压工艺;Hydraulicraft;HC
utilities3;319;;;流体能量;Utilities³;
minefactory-reloaded;32;;MineFactoryReloaded;我的工厂2;MineFactoryReloaded 2;MFR2
;320;;;科学;The Science Mod;TSM
;321;;;和平工艺;InspiritCraft;
metallurgy;322;273214;MetallurgyCore,Metallurgy,metallurgycm,metallurgy;冶金4;Metallurgy 4;ML4
school-mod-forge-1-14;324;;schoolmod;学校;School Mod;
;325;314815;witchery;巫术;Witchery;
growthcraft;326;;Growthcraft,growthcraft_rice,growthcraft_milk,growthcraft_hops,growthcraft_grapes,growthcraft_fishtrap,growthcraft_bees,growthcraft_cellar,growthcraft_bamboo,growthcraft_apples,Growthcraft|Rice,Growthcraft|Milk,Growthcraft|Hops,Growthcraft|Grapes,Growthcraft|Fishtrap,Growthcraft|Bees,Growthcraft|Bamboo,Growthcraft|Apples,Growthcraft|Cellar;生长工艺;GrowthCraft;GrC
gregtech-5-unofficial;327;352465;gregtech_addon;格雷科技5;GregTech 5;GT5
mantle;329;;Mantle,mantle;地幔;Mantle;
;33;;;Risugami's ModLoader;;
;330;;CustomOreGen;自定义矿物生成;Custom Ore Generation;COG
littlemaidmobx;331;932911;MMMLibX,lmmx;女仆;LittleMaidMob;LMM
botania;332;722470;botania,Botania;植物魔法;Botania;BOT
alternate-terrain-generation;333;;atg;交替性地形生成;Alternate Terrain Generation;ATG
gendustry;334;441078;gendustry;基因工业;Gendustry;
;336;199037;;更多的配方;NotEnoughRecipes;NER
;337;;CrossbowMod2;十字弩2;Crossbow2;
;338;165078;mario;超级马里奥;SuperMario;
betterfonts;339;187674;BetterFonts;更好的字体;BetterFonts;
zelda-sword-skills;340;214349;zeldaswordskills;塞尔达剑技;ZELDA SWORD SKILLS;ZSS
minemenu;342;302947;minemenu;我的菜单;MineMenu;
symcalc;343;;symcalc;对称度运算仪;Symcalc;
;344;302178;mod_ecru_MapleTree;枫树;MapleTree;MT
;345;;;匠魂强化;TiC Tweaks;
jabba;346;;JABBA;更好的储物桶;Just Another Better Barrel Attempt;JABBA
mcheli-minecraft-helicopter-mod;347;;mcheli;MC直升机;MC Helicopter Mod;MCheli
ex-aliquo;348;;exaliquo;Ex Aliquo;;
;350;;StevesCarts;史蒂夫矿车2;Steve's Carts 2;SC2
mariculture;351;321251;Mariculture;海洋物语;Mariculture;
;352;;evilcraft,evilcraftcompat;邪恶工艺;EvilCraft;EC
projecte;353;1109380;ProjectE,projecte;等价交换重制版;ProjectE;PE
falling-meteors-mod;354;;meteors;陨石;Falling Meteors;
thermal-expansion;357;805200;ThermalExpansion;热力膨胀4;Thermal Expansion 4;TE4
;358;;;控制包/更方便快捷的控制;ControlPack;CP
;36;606019;optifine;高清修复;OptiFine;OF
glacia-dimension;360;292883;greenapple_glacia;冰河时代;Glacia;
water-power;361;190676;WaterPower,waterpower;水力科技;Water Power;WP
realtrainmod;362;781058;rtm;真实火车;RealTrainMod;RTM
applemilktea2;363;464690;DCsAppleMilk;苹果奶茶2;AppleMilkTea2;AMT2
;364;;ihouse;我的房屋;iHouse;
;365;315722;Steamcraft;FSP蒸汽动力;Flaxbeard's Steam Power;FSP
slashblade;366;726664;flammpfeil.slashblade;拔刀剑;SlashBlade;
